Platform,Total Price Points,Unique Markets,Avg Points per Market,Mean Price,Std Price,Mean Return,Std Return,Return Skewness,Return Kurtosis
Polymarket,197861,384,515.2630208333334,0.19049130702867162,0.2522126485732106,0.012057411895925973,2.0212547962231553,332.15623313056886,126868.91871839865
Kalshi,216972,246,882.0,0.2575917629924599,0.2765477332221119,0.10792860380948345,1.886760042068027,27.111746394903705,1023.1299427655961
Combined,414833,630,658.4650793650794,0.22558716519659722,0.26732825049737174,0.062220689174597686,1.9526232851054899,188.44383827763923,69898.01651369438
